执行顺序,动作,点编号,X,Y,元件ID
1,P,27,265.0,0.0,45
2,P,29,285.0,0.0,12
3,M,45,265.0,247.0,45
4,M,12,285.0,225.0,12
5,P,25,245.0,0.0,61
6,P,26,255.0,0.0,98
7,M,61,249.0,104.0,61
8,M,98,252.0,119.0,98
9,P,25,245.0,0.0,56
10,P,23,225.0,0.0,83
11,M,56,237.0,132.0,56
12,M,83,238.0,188.0,83
13,P,15,145.0,0.0,63
14,P,16,155.0,0.0,64
15,M,63,141.0,164.0,63
16,M,64,168.0,168.0,64
17,P,14,135.0,0.0,92
18,P,14,135.0,0.0,11
19,M,92,134.0,148.0,92
20,M,11,135.0,146.0,11
21,P,12,115.0,0.0,95
22,P,12,115.0,0.0,19
23,M,95,113.0,23.0,95
24,M,19,110.0,76.0,19
25,P,15,145.0,0.0,8
26,P,21,205.0,0.0,44
27,M,8,147.0,199.0,8
28,M,44,204.0,207.0,44
29,P,18,175.0,0.0,53
30,P,17,165.0,0.0,78
31,M,53,174.0,10.0,53
32,M,78,167.0,92.0,78
33,P,9,85.0,0.0,82
34,P,9,85.0,0.0,57
35,M,82,88.0,47.0,82
36,M,57,88.0,39.0,57
37,P,8,75.0,0.0,40
38,P,7,65.0,0.0,15
39,M,40,104.0,265.0,40
40,M,15,60.0,292.0,15
41,P,3,25.0,0.0,54
42,P,1,5.0,0.0,22
43,M,54,25.0,201.0,54
44,M,22,10.0,270.0,22
45,P,1,5.0,0.0,91
46,P,2,15.0,0.0,13
47,M,91,12.0,130.0,91
48,M,13,17.0,126.0,13
49,P,4,35.0,0.0,28
50,P,5,45.0,0.0,32
51,M,28,40.0,64.0,28
52,M,32,49.0,87.0,32
53,P,4,35.0,0.0,36
54,P,2,15.0,0.0,39
55,M,36,32.0,123.0,36
56,M,39,18.0,87.0,39
57,P,4,35.0,0.0,1
58,P,4,35.0,0.0,34
59,M,1,45.0,258.0,1
60,M,34,40.0,198.0,34
61,P,1,5.0,0.0,87
62,P,1,5.0,0.0,14
63,M,87,279.0,295.0,87
64,M,14,288.0,287.0,14
65,P,20,195.0,0.0,93
66,P,20,195.0,0.0,75
67,M,93,193.0,25.0,93
68,M,75,199.0,29.0,75
69,P,22,215.0,0.0,89
70,P,21,205.0,0.0,18
71,M,89,216.0,154.0,89
72,M,18,201.0,137.0,18
73,P,20,195.0,0.0,25
74,P,22,215.0,0.0,60
75,M,25,194.0,48.0,25
76,M,60,213.0,76.0,60
77,P,17,165.0,0.0,88
78,P,17,165.0,0.0,43
79,M,88,164.0,166.0,88
80,M,43,163.0,149.0,43
81,P,16,155.0,0.0,7
82,P,16,155.0,0.0,67
83,M,7,151.0,123.0,7
84,M,67,151.0,154.0,67
85,P,13,125.0,0.0,27
86,P,11,105.0,0.0,5
87,M,27,122.0,136.0,27
88,M,5,111.0,195.0,5
89,P,8,75.0,0.0,69
90,P,8,75.0,0.0,26
91,M,69,94.0,281.0,69
92,M,26,72.0,266.0,26
93,P,3,25.0,0.0,23
94,P,3,25.0,0.0,46
95,M,23,29.0,167.0,23
96,M,46,20.0,182.0,46
97,P,2,15.0,0.0,77
98,P,2,15.0,0.0,48
99,M,77,11.0,99.0,77
100,M,48,18.0,99.0,48
101,P,7,65.0,0.0,94
102,P,6,55.0,0.0,21
103,M,94,156.0,263.0,94
104,M,21,241.0,261.0,21
105,P,26,255.0,0.0,52
106,P,27,265.0,0.0,86
107,M,52,260.0,214.0,52
108,M,86,262.0,171.0,86
109,P,29,285.0,0.0,80
110,P,29,285.0,0.0,24
111,M,80,278.0,162.0,80
112,M,24,288.0,179.0,24
113,P,28,275.0,0.0,96
114,P,28,275.0,0.0,55
115,M,96,277.0,131.0,96
116,M,55,273.0,132.0,55
117,P,30,295.0,0.0,84
118,P,26,255.0,0.0,97
119,M,84,265.0,255.0,84
120,M,97,246.0,245.0,97
121,P,30,295.0,0.0,59
122,P,30,295.0,0.0,81
123,M,59,291.0,99.0,59
124,M,81,290.0,32.0,81
125,P,28,275.0,0.0,37
126,P,27,265.0,0.0,35
127,M,37,275.0,85.0,37
128,M,35,262.0,40.0,35
129,P,23,225.0,0.0,41
130,P,22,215.0,0.0,50
131,M,41,219.0,245.0,41
132,M,50,214.0,212.0,50
133,P,24,235.0,0.0,74
134,P,24,235.0,0.0,73
135,M,74,232.0,22.0,74
136,M,73,234.0,44.0,73
137,P,19,185.0,0.0,17
138,P,18,175.0,0.0,90
139,M,17,175.0,118.0,17
140,M,90,172.0,101.0,90
141,P,19,185.0,0.0,68
142,P,19,185.0,0.0,20
143,M,68,193.0,196.0,68
144,M,20,185.0,233.0,20
145,P,15,145.0,0.0,71
146,P,14,135.0,0.0,62
147,M,71,143.0,121.0,71
148,M,62,131.0,114.0,62
149,P,12,115.0,0.0,99
150,P,10,95.0,0.0,47
151,M,99,113.0,183.0,99
152,M,47,93.0,172.0,47
153,P,10,95.0,0.0,31
154,P,10,95.0,0.0,72
155,M,31,101.0,261.0,31
156,M,72,110.0,247.0,72
157,P,9,85.0,0.0,29
158,P,8,75.0,0.0,30
159,M,29,83.0,266.0,29
160,M,30,80.0,226.0,30
161,P,9,85.0,0.0,65
162,P,7,65.0,0.0,49
163,M,65,83.0,120.0,65
164,M,49,61.0,137.0,49
165,P,11,105.0,0.0,10
166,P,11,105.0,0.0,33
167,M,10,107.0,240.0,10
168,M,33,106.0,200.0,33
169,P,5,45.0,0.0,3
170,P,5,45.0,0.0,70
171,M,3,45.0,199.0,3
172,M,70,45.0,215.0,70
173,P,6,55.0,0.0,51
174,P,3,25.0,0.0,9
175,M,51,215.0,262.0,51
